country,university_count,average_score,safety_and_security,personal_freedom,governance,social_capital,economic_quality,living_conditions,health,education,natural_environment
Tunisia,9,54.46,59.83,56.75,50.66,38.73,43.34,78.07,72.05,56.9,45.96
Turkey,80,55.5,45.7,30.22,36.89,45.02,53.04,80.96,74.19,64.77,55.47
Turkmenistan,4,52.38,73.39,22.27,27.79,64.23,54.13,78.72,75.59,66.56,42.63
Uganda,2,46.83,53.01,41.77,38.49,51.21,42.04,46.42,58.49,37.24,52.11
Ukraine,28,58.84,54.31,62.77,45.95,58.57,51.37,78.05,68.71,77.58,55.15
United Arab Emirates,9,66.69,77.15,31.27,63.51,55.16,66.79,84.88,78.38,74.72,51.11
United Kingdom,163,79.95,87.63,85.64,80.63,67.77,73.31,94.16,78.31,84.81,68.65
United States,179,77.44,72.43,78.85,75.18,73.91,72.34,90.74,73.26,83.15,66.69
Uruguay,1,69.69,79.43,84.87,72.82,66.76,55.53,86.04,77.98,70.64,59.61
Uzbekistan,32,53.8,75.89,31.22,38.63,59.86,50.63,67.27,76.28,64.78,40.27
Venezuela,4,43.6,40.45,36.63,13.09,58.3,26.44,69.82,69.61,61.1,62.22
Vietnam,6,58.86,69.1,34.85,47.86,65.97,60.33,71.8,76.99,66.56,52.09
Zambia,2,47.14,66.05,48.29,42.03,50.63,30.93,40.82,57.2,39.04,58.6
Zimbabwe,1,44.67,63.48,37.91,31.66,45.82,37.74,47.34,55.46,56.03,52.53
