country,average_score,safety_and_security,personal_freedom,governance,social_capital,economic_quality,living_conditions,health,education,natural_environment
 Senegal,53.68,65.63,64.45,53.8,57.25,41.66,58.2,64.44,32.88,56.53
 India,53.66,51.89,47.4,56.03,48.42,48.4,55.9,66.16,50.46,41.78
 Cuba,53.44,65.79,28.66,36.49,62.06,40.2,76.96,79.53,70.43,55.65
 Honduras,53.25,56.3,54.64,33.81,58.78,45.44,63.61,69.01,46.06,57.61
 Bolivia,53.13,66.15,58.98,36.91,56.32,38.92,68.72,66.02,57.18,60.47
 Turkmenistan,52.38,73.39,22.27,27.79,64.23,54.13,78.72,75.59,66.56,42.63
 Kenya,52.25,47.64,55.1,47.51,57.03,45.76,49.52,65.21,48.21,50.48
 Algeria,52.13,74.7,39.1,41.96,39.33,39.95,78.24,73.22,59.57,46.29
   Nepal,51.57,66.64,57.17,48.49,56.38,45.33,56.11,63.87,45.68,49.22
 Rwanda,51.56,59.14,44.11,60.04,44.17,49.48,41.62,64.6,39.13,52.57
 Lebanon,51.38,56.41,52.89,32.9,33.69,31.89,74.77,68.65,67.08,51.9
 Tajikistan,51.2,70.34,32.45,36.86,59.14,43.67,66.87,72.46,62.59,44.89
 Nicaragua,50.22,63.73,39.96,28.43,56.78,42.5,64.36,72.1,45.6,57.43
 Laos,50.18,75.55,27.51,39.4,45.5,46.61,57.21,66.38,48.89,56.59
 Gambia,50.1,66.78,52.51,49.88,57.59,35.38,53.87,56.18,34.68,55.76
 Tanzania,49.2,64.68,47.76,47.24,46.22,46.86,47.52,60.07,42.57,56.74
 Cambodia,49.19,66.09,36.13,26.95,44.1,54.09,55.21,70.58,43.25,56.1
 Gabon,48.84,64.17,48.32,35.02,50.99,43.07,66.48,56.07,50.39,55.0
 Côte d'Ivoire,48.59,60.65,55.05,43.91,43.17,47.48,54.32,51.81,37.15,55.1
 Egypt,48.57,48.13,24.85,34.12,36.69,39.63,71.7,67.2,51.06,44.05
 Djibouti,48.47,68.44,38.74,40.23,43.62,44.97,58.16,60.55,39.32,44.19
 Benin,48.22,72.55,59.08,49.29,36.84,43.38,45.17,53.5,36.85,50.47
 Bangladesh,47.87,50.62,39.87,36.25,50.95,45.09,57.09,67.39,44.19,44.58
 Malawi,47.83,65.96,61.61,48.38,40.12,37.65,37.18,61.01,33.93,57.58
 Iran,47.71,55.57,17.09,31.83,48.96,38.93,76.11,74.93,63.75,43.11
 Zambia,47.14,66.05,48.29,42.03,50.63,30.93,40.82,57.2,39.04,58.6
 Comoros,46.93,74.8,53.4,29.3,54.53,33.14,48.06,59.6,38.22,56.54
 Uganda,46.83,53.01,41.77,38.49,51.21,42.04,46.42,58.49,37.24,52.11
 Papua New Guinea,46.64,62.76,64.1,40.86,53.6,41.23,34.37,52.87,35.4,58.31
 Equatorial Guinea,46.59,67.34,30.49,28.44,53.36,47.01,58.86,50.41,42.96,58.88
 Lesotho,45.62,66.3,59.1,45.19,47.01,39.37,45.31,41.3,45.03,38.22
 Togo,45.52,66.66,49.86,37.23,43.1,38.8,46.01,55.09,39.99,50.07
 Swaziland,45.36,62.03,30.56,36.05,41.87,44.79,55.76,48.43,44.52,46.07
 Burkina Faso,45.12,47.89,63.52,45.67,49.14,41.36,40.49,58.72,22.03,55.47
 Pakistan,45.1,42.13,42.64,39.43,48.64,40.35,58.13,60.78,35.41,34.03
 Madagascar,44.94,59.87,58.14,39.19,50.98,38.22,30.0,54.12,33.76,55.85
 Liberia,44.79,63.25,55.96,41.29,52.73,35.83,44.21,48.64,25.05,58.34
 Zimbabwe,44.67,63.48,37.91,31.66,45.82,37.74,47.34,55.46,56.03,52.53
 Iraq,44.66,26.94,38.01,35.85,44.5,44.83,73.61,64.62,45.44,33.67
 Guinea,44.47,59.67,48.03,36.75,52.24,33.15,40.64,48.65,27.83,56.99
 Nigeria,44.0,39.3,49.61,36.46,54.39,37.73,49.22,50.12,37.5,49.91
 Myanmar ,43.66,36.85,20.7,33.81,58.6,38.29,52.94,66.74,47.83,55.54
 Sierra Leone,43.62,63.88,56.97,43.11,53.79,32.76,36.43,48.26,30.75,53.15
 Venezuela,43.6,40.45,36.63,13.09,58.3,26.44,69.82,69.61,61.1,62.22
 Libya,43.46,30.16,38.88,24.48,50.31,45.75,71.57,67.84,48.82,43.26
 Cameroon,43.08,36.72,39.2,31.42,47.6,43.11,47.74,51.02,47.74,51.78
 Congo,42.82,53.76,38.38,28.94,41.57,34.7,48.23,54.1,47.62,54.48
 Guinea-Bissau,42.78,75.86,53.23,35.05,49.05,33.39,38.39,50.87,19.96,56.82
 Mozambique,42.7,54.24,52.63,39.16,47.69,32.49,35.81,52.84,24.36,60.3
 Mali,42.36,34.04,56.61,39.48,46.76,41.81,47.73,54.47,19.61,54.04
 Niger,42.26,50.94,55.79,41.21,55.83,41.53,31.89,54.6,16.78,51.81
 Ethiopia,41.87,41.62,35.17,39.86,51.61,42.52,42.06,60.91,31.56,52.69
 Mauritania,41.23,67.65,41.0,28.42,49.28,39.67,55.9,56.74,28.27,39.5
 Angola,40.55,61.33,41.13,35.64,39.62,41.81,44.33,49.88,29.61,50.47
 Haiti,39.82,56.65,50.97,25.73,40.86,37.76,41.26,52.93,34.22,47.04
 Burundi,38.2,39.61,29.0,32.78,42.95,29.98,27.78,58.16,31.06,53.54
 Sudan,36.97,33.28,29.29,31.9,34.84,24.46,47.41,60.55,34.11,39.67
 Syria,36.83,23.11,16.16,21.27,23.01,36.35,66.86,67.16,43.01,42.29
 Eritrea,36.02,52.06,16.77,22.59,36.9,32.83,30.78,57.49,29.23,49.86
 Democratic Republic of Congo,35.74,31.79,43.55,25.5,40.78,32.45,30.65,50.9,33.61,53.5
 Chad,34.69,47.05,38.28,22.96,42.06,38.33,31.32,39.17,17.58,53.38
 Somalia,34.39,31.91,34.32,23.8,43.5,28.23,32.07,44.38,26.32,48.46
 Afghanistan,34.18,20.93,31.02,29.47,31.17,33.75,39.74,50.91,27.11,44.11
 Central African Republic,32.83,35.3,36.83,28.4,36.72,40.34,19.21,31.95,18.62,54.57
 Yemen,32.65,22.6,25.3,18.2,38.44,28.81,41.58,57.45,28.12,44.49
 South Sudan,30.4,16.54,26.98,22.16,36.1,32.3,21.99,35.69,18.99,50.35
